Genus,Species,Synonyms,Extant,Plesiadapiform,Plesiadapiform Reference,First Appearance (mya),Last Appearance (mya),Period Reference,Body Size (g),Body Size Reference,m1 Length,m1 Width,M1 Length,M1 Width,m2 Length,m2 Width,M2 Length,M2 Width,m3 Length,m3 Width,M3 Length,M3 Width,p4 Length,p4 Width,P4 Length,P4 Width,Measurement References,New World
Dillerlemur,pagei,,no,,,56.8,55.8,Fossilworks,288.487,estimate,2.05,2.34,3.05,2.22,2.09,2.35,2.75,1.7,,,,,2,3.09,2.65,2,Rose 1981,
Dillerlemur,robinettei,,no,yes,Fleagle 1999,55.8,50.3,Fossilworks,419,Fleagle 1999,,,,,,,,,,,,,,,,,,
Dinopithecus,ingens,,no,,,2.5,1.5,Williams et al. 2007,77000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Dionysopithecus,orientalis,,no,,,23.03,15.97,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Dionysopithecus,shuangouensis,,no,,,20.43,15.97,Fossilworks,3300,Fleagle 1999,,,,,,,,,,,,,,,,,,
Djebelemur,martinezi,,no,,,55.8,40.4,Fossilworks,100,Fleagle 1999,,,,,,,,,,,,,,,,,,
Dolichocebus,gaimanensis,,no,,,21,17.5,Fossilworks,2700,Fleagle 1999,,,,,,,,,,,,,,,,,,yes
Dolichopithecus,hanaumani,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Dolichopithecus,ruscinensis,,no,,,5.33,2.59,Fossilworks,18000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Donrussellia,gallica,,no,,,,,,210,Fleagle 1999,,,,,,,,,,,,,,,,,,
Donrussellia,lusitanica,,no,,,55.8,48.6,Fossilworks,,,,,,,,,,,,,,,,,,,,
Donrussellia,magna,,no,,,56,47.8,Fleagle 1999,730,Fleagle 1999,,,,,,,,,,,,,,,,,,
Donrussellia,provincialis,,no,,,55.8,48.6,Fossilworks,270,Fleagle 1999,,,,,,,,,,,,,,,,,,
Draconodus,apertus,,no,yes,Fleagle 1999,63.3,61.7,Fossilworks,200,Fleagle 1999,,,,,,,,,,,,,,,,,,
Dryomomys,dulcifer,,no,,,56.8,55.8,Fossilworks,,,,,,,,,,,,,,,,,,,,
Dryomomys,szalayi,,no,,,58.7,55.8,Fossilworks,,,,,,,,,,,,,,,,,,,,
Dryopithecus,brancoi,,no,,,11.1,9.7,Fossilworks,,,,,,,,,,,,,,,,,,,,
Dryopithecus,crusafronti,,no,,,,,,26000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Dryopithecus,fontani,,no,,,,,,35000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Dryopithecus,laietanus,,no,,,,,,20000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Dryopithecus,mogharensis,,no,,,16.9,15.97,Fossilworks,,,,,,,,,,,,,,,,,,,,
Dyseolemur,pacificus,,no,,,46.2,40.4,Fossilworks,169.944,estimate,1.7,2,2.9,1.8,,,2.9,1.9,,,,,,,2.7,1.7,Lillegraven 1980 Rasmussen et al. 1995 Szalay 1976,
Edworthia,lerbekmoi,,no,,,63.3,61.7,Fossilworks,87.479,estimate,1.2,1.5,,,1.4,1.6,,,1.2,2,,,1,1.3,,,Fox et al. 2010,
Ekgmowechashala,philotau,,no,,,30.8,26.3,Fossilworks,1807.758,estimate,3.68,4.153,,,,,,,,,,,,,,,Szalay 1976,
Elphidotarsius,florencae,,no,yes,Fleagle 1999,63.3,61.7,Fossilworks,66.255,estimate,1.4,1.5,,,,,,,,,,,,,,,Alroy 2000 Simpson 1937,
Elphidotarsius,russelli,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,108.894,estimate,1.33,1.46,2.1,1.38,,,,,,,,,1.325,2.27,2.21,1.75,Silcox et al. 2001,
Elphidotarsius,shotgunensis,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,65.206,estimate,1.3,1.6,,,,,,,,,,,,,,,Gazin 1971,
Elphidotarsius,wightoni,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,71.596,estimate,1.1,1.32,1.9,1.225,,,,,,,,,1.2,1.94,1.925,1.6,Fox 1984,
Elwynella,oreas,,no,yes,Fleagle 1999,50.3,46.2,Fossilworks,241.921,estimate,1.85,2.47,,,,,,,,,,,,,,,Rose and Bown 1982,
Eosimias,centennicus,,no,,,48.6,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Eosimias,dawsonae,,no,,,48.6,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Eosimias,sinensis,,no,,,48.6,37.2,Fossilworks,100,Fleagle 1999,,,,,,,,,,,,,,,,,,
Europolemur,collinsonae,,no,,,40.4,37.2,Fossilworks,1500,Fleagle 1999,,,,,,,,,,,,,,,,,,
Europolemur,dunaefi,,no,,,,,,1360,Fleagle 1999,,,,,,,,,,,,,,,,,,
Europolemur,kelleri,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Europolemur,klatti,,no,,,48.6,40.4,Fossilworks,1700,Fleagle 1999,,,,,,,,,,,,,,,,,,
Europolemur,koenigswaldi,,no,,,48.6,40.4,Fossilworks,,,,,,,,,,,,,,,,,,,,
Galago,farafraensis,,no,,,11.608,5.332,Fossilworks,,,,,,,,,,,,,,,,,,,,
Galago,howelli,,no,,,5.333,0.0117,Fleagle 1999,700,Fleagle 1999,,,,,,,,,,,,,,,,,,
Galago,sadimanensis,,no,,,5.333,0.0117,Fleagle 1999,200,Fleagle 1999,,,,,,,,,,,,,,,,,,
Ganlea,megacanina,,no,,,48.6,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Gazinius,amplus,,no,,,50.3,46.2,Fossilworks,875,Fleagle 1999,,,,,,,,,,,,,,,,,,
Gazinius,bowni,,no,,,50.3,46.2,Fossilworks,600,Fleagle 1999,,,,,,,,,,,,,,,,,,
Gigantopithecus,bilaspurensis,,no,,,5.33,2.58,Chopra 1978,190000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Gigantopithecus,blacki,,no,,,2.588,0.0117,Fleagle 1999,225000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Gorgopithecus,major,,no,,,5.332,0.012,Fossilworks,41000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Graecopithecus,freybergi,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Graecopithecus,macedoniensis,,no,,,,,,110000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Griphopithecus,alpani,,no,,,15.97,11.608,King et al. 1998,28000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Griphopithecus,darwini,,no,,,15.97,11.608,Cameron 2004,48000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Guangxilemur,singsilai,,no,,,33.9,28.4,Fossilworks,,,,,,,,,,,,,,,,,,,,
Guangxilemur,tongi,,no,,,37.2,33.9,Fossilworks,,,,,,,,,,,,,,,,,,,,
Guilielmoscottia,plicifera,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Hadropithecus,stenognathus,,no,,,,,,28000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Hemiacodon,casamissus,,no,,,55.8,50.3,Fossilworks,470.824,estimate,2.35,2.9,,,,,,,,,,,,,,,Alroy 2000,
Hemiacodon,engardae,,no,,,46.2,40.4,Fossilworks,1188.096,estimate,3.01,3.84,,,3.04,3.88,,,2.76,4.55,,,2.44,3.11,,,Murphey and Dunn 2009,
Hemiacodon,gracilis,,no,,,46.2,40.4,Fossilworks,1000.626,estimate,3,3.6,4.74,3.53,3.04,3.42,4.91,3.35,2.55,3.74,4.04,2.66,,,,,Gazin 1958 Gunnell 1995,
Henricosbornia,alouatina,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Henricosbornia,lophodonta,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Henricosbornia,subconica,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Henricosbornia,waitehor,,no,,,57,55.8,Fossilworks,,,,,,,,,,,,,,,,,,,,
Hoanghonius,stehlini,,no,,,37.2,33.9,Fossilworks,700,Fleagle 1999,,,,,,,,,,,,,,,,,,
Homo,antecessor,,no,,,2.588,0.012,Fossilworks,,,,,,,,,,,,,,,,,,,,
Homo,erectus,,no,,,1.806,0.012,Fossilworks,57650,Fleagle 1999,,,,,,,,,,,,,,,,,,
Homo,georgicus,,no,,,2.588,0.781,Fossilworks,,,,,,,,,,,,,,,,,,,,
Homo,habilis,,no,,,1.806,0.781,Fossilworks,41550,Fleagle 1999,,,,,,,,,,,,,,,,,,
Homo,heidelbergensis,,no,,,0.781,0.126,Fossilworks,10000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Homo,helmei,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Homo,neanderthalensis,,no,,,0.126,0.012,Fossilworks,76000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Homo,njarasensis,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Homo,platyops,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Homo,rhodesiensis,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Homo,rudolfensis,,no,,,5.332,0.012,Fossilworks,45000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Homo,troglodytes,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Homunculus,imago,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Homunculus,patagonicus,,no,,,23.03,15.97,Fossilworks,2700,Fleagle 1999,,,,,,,,,,,,,,,,,,yes
Huerzeleria,quercyi,,no,,,,,,190,Fleagle 1999,,,,,,,,,,,,,,,,,,
Ignacius,clarkforkensis,,no,,,56.8,55.8,Fossilworks,,,,,,,,,,,,,,,,,,,,
Ignacius,fremontensis,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,57.066,estimate,1.2,1.6,,,,,,,,,,,,,,,Alroy 2000 Gazin 1971,
Ignacius,frugivorus,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,180.087,estimate,1.6,2,2.75,2.05,1.67,2.04,2.8,1.9,1.47,2.67,2.2,1.8,1,1.6,2.3,1.9,Krause 1978 Krishtalka et al. 1975 Simpson 1935 Simpson 1936 Winterfeld 1982,
Ignacius,graybullianus,,no,yes,Fleagle 1999,55.8,50.3,Fossilworks,288.094,estimate,2.13,2.28,2.98,2.2,2.05,2.05,2.84,2.05,1.85,3.2,2.6,2.34,,,,,Alroy 2000 Bown and Rose 1976 Rose and Gingerich 1976,
Indraloris,himalayensis,,no,,,11.608,5.332,Fossilworks,2500,Fleagle 1999,,,,,,,,,,,,,,,,,,
Indusius,kaliae,,no,,,55.8,48.6,Fossilworks,,,,,,,,,,,,,,,,,,,,
Jattadectes,mamikheli,,no,,,55.8,48.6,Fossilworks,,,,,,,,,,,,,,,,,,,,
Jemezius,szalayi,,no,,,55.8,50.3,Fossilworks,219.258,estimate,1.8,2.3,2.7,2.2,1.95,2.2,2.9,1.9,,,,,1.8,2,2.3,1.8,Beard 1987,
Kalepithecus,songhorensis,,no,,,15.97,13.65,Fossilworks,5000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Kamoyapithecus,hamiltoni,,no,,,28.1,23.03,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Karanisia,arenula,,no,,,37.2,28.4,Fossilworks,,,,,,,,,,,,,,,,,,,,
Karanisia,clarki,,no,,,37.2,33.9,Fossilworks,,,,,,,,,,,,,,,,,,,,
Kenyapithecus,africanus,equatorius africanus,no,,,15.97,11.608,Fossilworks,41000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Kenyapithecus,wickeri,,no,,,13.65,11.608,Fossilworks,27000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Khoratpithecus,ayeyarwadyensis,,no,,,11.608,7.246,Fossilworks,,,,,,,,,,,,,,,,,,,,
Khoratpithecus,chiangmuanensis,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Khoratpithecus,piriyai,,no,,,11.608,5.332,Fossilworks,,,,,,,,,,,,,,,,,,,,
Killikaike,blakei,,no,,,17.5,16.3,Fossilworks,,,,,,,,,,,,,,,,,,,,
Kogolepithecus,morotoensis,,no,,,22.4,20,Fossilworks,,,,,,,,,,,,,,,,,,,,
Kohatius,coppensi,,no,,,48.6,40.4,Fossilworks,190,Fleagle 1999,,,,,,,,,,,,,,,,,,
Komba,minor,,no,,,23.03,15.97,Fleagle 1999,125,Fleagle 1999,,,,,,,,,,,,,,,,,,
Komba,robusta,,no,,,23.03,15.97,Fleagle 1999,300,Fleagle 1999,,,,,,,,,,,,,,,,,,
Komba,winamensis,,no,,,23.03,15.97,Fleagle 1999,1000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Krabia,minuta,,no,,,37.2,33.9,Fossilworks,,,,,,,,,,,,,,,,,,,,
Krishnapithecus,krishnaii,,no,,,11.608,5.332,Ciochon 1985,,,,,,,,,,,,,,,,,,,,
Kyitchaungia,takaii,,no,,,40.4,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Laccopithecus,robustus,,no,,,8.7,5.332,Fossilworks,12000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Lagonimico,conclucatus,,no,,,13.8,11.8,Fossilworks,1300,Fleagle 1999,,,,,,,,,,,,,,,,,,yes
Langsonia,liquidens,,no,,,0.781,0.126,Fossilworks,,,,,,,,,,,,,,,,,,,,
Laventiana,annectens,neosaimiri annectens,no,,,16.3,15.5,Fossilworks,800,Fleagle 1999,,,,,,,,,,,,,,,,,,yes
Leptadapis,(paradapis),,no,,,40.4,37.2,Fossilworks,1300,Fleagle 1999,,,,,,,,,,,,,,,,,,
Leptadapis,assolicus,,no,,,,,,3000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Leptadapis,capellae,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Leptadapis,filholi,,no,,,38,28.1,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Leptadapis,leenhardti,,no,,,38,28.1,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Leptadapis,magnus,,no,,,37.2,33.9,Fossilworks,4000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Leptadapis,ruetimeyeri,,no,,,,,,2500,Fleagle 1999,,,,,,,,,,,,,,,,,,
Libypithecus,markgrafi,,no,,,11.608,5.332,Fossilworks,8400,Fleagle 1999,,,,,,,,,,,,,,,,,,
Limnopithecus,evansi,,no,,,23.03,15.97,Fleagle 1999,6000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Limnopithecus,legetet,,no,,,23.03,15.97,Fleagle 1999,5000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Lomorupithecus,harrisoni,,no,,,20.43,15.97,Fossilworks,,,,,,,,,,,,,,,,,,,,
Loveina,minuta,,no,,,55.8,50.3,Fossilworks,110.19,estimate,1.5,1.9,,,,,,,,,,,,,,,Bown and Rose 1984 Gazin 1962,
Loveina,sheai,,no,,,55.8,50.3,Fossilworks,200.795,estimate,1.6,2,,,1.7,2.1,,,1.5,2.6,,,1.5,1.7,,,Holroyd and Strait 2008,
Loveina,wapitiensis,,no,,,55.8,50.3,Fossilworks,236.629,estimate,1.6,2.2,,,1.8,2.2,,,1.7,2.8,,,1.5,1.8,,,Gunnell et al. 1992 Holroyd and Strait 2008,
Loveina,zephyri,,no,,,55.8,50.3,Fossilworks,168.996,estimate,1.69,2.18,,,,,,,,,,,,,,,Bown and Rose 1984 Szalay 1976,
Lufengpithecus,chiangmuanensis,,no,,,12.75,9.7,Fossilworks,,,,,,,,,,,,,,,,,,,,
Lufengpithecus,keiyuanensis,,no,,,11.608,5.332,Qi et al. 2006,,,,,,,,,,,,,,,,,,,,
Lufengpithecus,lufengensis,,no,,,11.608,5.332,Wikipedia,50000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Lushius,qinlinensis,,no,,,37.2,33.9,Fossilworks,2900,Fleagle 1999,,,,,,,,,,,,,,,,,,
Mabokopithecus,clarki,,no,,,15.97,11.608,Fleagle 1999,10000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Macaca,anderssoni,,no,,,2.588,0.0117,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Macaca,jiangchuanensis,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca,libyca,,no,,,,,,14000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Macaca,majori,,no,,,2.588,0.0117,Fleagle 1999,9500,Fleagle 1999,,,,,,,,,,,,,,,,,,
Macaca,palaeindica,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca,phaeura,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca,prisca,,no,,,,,,12000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Macacus,robustus,,no,,,2.588,0.012,Fossilworks,,,,,,,,,,,,,,,,,,,,
Macrotarsius,jepseni,,no,,,46.2,40.4,Fossilworks,1450.939,estimate,3.3,4,4.65,3.77,,,5.05,3.95,,,4.64,3.47,,,,,Krishtalka 1978 Lillegraven 1980 Robinson 1968,
Macrotarsius,macrorhysis,,no,,,48.6,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Macrotarsius,montanus,,no,,,40.4,37.2,Fossilworks,2192.521,estimate,3.9,4.4,,,,,,,,,,,,,,,Krishtalka 1978 Storer 1990,
Macrotarsius,roederi,,no,,,46.2,40.4,Fossilworks,1640,Fleagle 1999,,,,,,,,,,,,,,,,,,
Macrotarsius,siegerti,,no,,,40.4,37.2,Fossilworks,1735.726,estimate,3.61,4.3,5.097,4.04,,,5.393,3.973,,,4.93,3.41,,,,,Eaton 1985 Krishtalka 1978 Robinson 1968,
Magnadapis,fredi,,no,,,38,33.9,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Magnadapis,intermedius,,no,,,38,33.9,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Magnadapis,laurenceae,,no,,,38,33.9,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Magnadapis,quercyi,,no,,,38,33.9,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Mahgarita,stevensi,,no,,,40.4,37.2,Fossilworks,1079.992,estimate,2.53,3.67,4.67,3.72,2.65,3.67,5.1,3.62,2.4,4.21,4.64,3.13,2.11,3.33,3.85,2.79,Kirk and Williams 2011,
Marcgodinotius,indicus,,no,,,55.8,48.6,Fossilworks,,,,,,,,,,,,,,,,,,,,
Megachiromyoides,schluteri,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Megadelphus,lundeliusi,,no,yes,Fleagle 1999,50.3,46.2,Fossilworks,5072.542,estimate,4.38,5.86,6.95,6,4.603,5.971,7.5,6.3,4.431,6.717,6.7,5.87,,,,,Gunnell 1989,
